Farm,County,Paragraph Synopsis,Paragraph List Synopsis,Coordinates,Image
Rountree,Brooks,"John Willis Rountree, a skilled carpenter and farmer, purchased the land of what eventually became Rountree farm in 1891 from James E. Henry in Morven, Brooks County. By 1930, the farm housed horses, mules, tobacco, a cotton house, a smokehouse, and water wells. Half of the farm was utilized as a timber reserve, while the remaining acres were used to produce crops like peaches, vegetables, pecans, corn, and tobacco. Part of the farm is currently leased as a peach orchard. The John & Emma Jane Rountree Farm was the first African American family to receive the Centennial Family Farm Award in 1994. As of 2001, the farm was being taken care of by grandchildren and cousins.

Georgia African American Historic Preservation Network. “Exploring the History of African Americans on Sapelo Island.” Reflections, vol. 1, no. 2, Feb. 2001, pp. 6–8. 
https://dca.georgia.gov/document/newsletters/2001-02reflectionspdf/download","Crops: peaches, vegetables, pecans, tobacco. Half of the land was used for a timber reserve. 

Achievements: First African American family farm to receive the Centennial Family Farm award in 1994

Location: Movrven, Brooks County

Size: Originally 40 acres but expanded to 84 acres of farmland by 1917. The Rountree family lived on the farm their entire marriage and raised 15 children there. 

Current status: Owned by Roundtree’s grandchildren and cousins. 

Acquisition: John Willis Roundtree purchased land from James E Hendry in 1891","30.8730159, -83.54965659999999",
Morgan,Sumter,"The Morgan Centennial Farm, established in 1886 by former slave Nathan Morgan in Sumter County, Georgia, has remained a symbol of African American agricultural heritage for over a century. Nathan Morgan purchased 202 acres from A. Windsor, laying the foundation for a farm that would sustain generations of his family. Initially, the farm produced cotton, corn, peanuts, and vegetables, and it continues to yield crops such as peanuts, watermelon, and okra today.
Milton Morgan owned the farm from 1925 to 1947, during which he sold 60 acres, including one acre that became the site of Mount Zion A.M.E. Church, the family’s church. In 1952, after his father’s passing, Carranza Morgan repurchased the land and maintained its historic landscape, incorporating garden plots, fruit trees, and pastures while adapting the original outbuildings for modern agricultural use.
Recognized for its enduring legacy, the farm received the Centennial Family Farm Award in 1995, becoming the first African American farm in Georgia to earn this distinction. It was listed in the National Register of Historic Places in 1998 and was honored as an African American Centennial Heritage Farm in 2001. Today, the Morgan farm remains a testament to resilience, tradition, and the deep-rooted history of African American farming in Georgia.


Georgia African American Historic Preservation Network. “2000 Georgia Centennial Farm Awards Honor Reverend James Fowler Farm.” Reflections, Dec. 2000. https://gadnr.org/sites/default/files/hpd/pdf/AfricanAmericanHistoricPlaces/December%202000.pdf

""May-June 2001: The Georgia Trust for Historic Preservation."" The Georgia Trust for Historic Preservation, May–June 2001, p. 4, www.yumpu.com/en/document/read/37119213/may-june-2001-the-georgia-trust-for-historic-preservation#google_vignette.


“$750,000 for Worth County Civic/Community Center Allocated in General Assembly Budget.” The Sylvester Local News , vol. 116, no. 21, 18 Feb. 2001. 
https://worthcounty.advantage-preservation.com/viewer/?i=f&by=2001&bdd=2000&bm=2&bd=28&fn=sylvester_local_news_usa_georgia_sylvester_20010228_english_1&df=1&dt=10","Background : The first African American Georgia family to receive a Centennial Family Farm Award (1995) were the descendants of Nathan Morgan, a former slave, who purchased 202 acres from A. Windsor in1886.

Initial Crops: cotton, corn, peanuts, and vegetables.

Current Crops: The farm still produces various amounts of peanuts, watermelon, okra

Location: The Morgan farmstead is located 6.5 miles from Americus, Sumter County.

Size: The farm includes a historic farmhouse, six historic outbuildings, and 117 acres of cultivated fields.

Timeline:: Milton Morgan owned the farm from 1925 to 1947. He sold 60 acres during his ownership, including one acre that is presently the site of Mount Zion A.M.E. Church, the family church.

Buyback: In 1952, Miltons son, Carranza, bought the farm after his fathers death, continuing the legacy.

Maintenance: He maintained the historic landscape of the original farm with garden vegetable plots, fruit trees, pastures, and cultivated fields. Morgan maintains the historic outbuildings by adapting them to store modern equipment.

Achievements: 

The Morgan family farm was listed in the National Register of Historic Places in 1998.

Awarded African American Centennial Heritage Farms in 2001

Awarded African American Centennial Family Farms in 1995","31.9981596, -84.2278796",
Lewis Clark,Thomas,"The Lewis Clark farm was established in 1875 when Lewis Clark purchased fifty acres of land from James F. Brown. On the farm, he grew cotton, corn, sweet potatoes, sugar cane, and garden vegetables. In 1899, Lewis Clark passed away and willed the farm to his daughter, Lenary Clark Allen Williams. She continued to run the farm until her death in 1987, when the farm was passed down to her daughter, Essie Allen Spruel, the current owner of the farm. 

Georgia African American Historic Preservation Network. “2000 Georgia Centennial Farm Awards Honor Reverend James Fowler Farm.” Reflections, Dec. 2000. 
https://gadnr.org/sites/default/files/hpd/pdf/AfricanAmericanHistoricPlaces/December%202000.pdf","Award: Centennial Family Farm Award in 1996

Crops: cotton, corn, sweet potatoes, sugar cane, and garden vegetables

Acquisition: Lewis Clark purchased 50 acres from James F. Brown in 1875

Location: Thomas County

Notable Fact: the farm is currently leased, and there are no currently existing farmhouses or outbuildings","30.8417409, -83.8473015",
Fowler,Worth,"Fowler Farm, established in 1888 by Reverend James Fowler in Oakfield, Worth County, Georgia, exemplifies African American resilience in agriculture. Born into slavery, Rev. Fowler inherited 202 acres from N.F. Mercer, a white man, and became a leading cotton producer by the early 20th century. His descendants expanded the farm, with his youngest son, Arthur, inheriting it in 1933 and continuing crop production. In 1984, Arthur's daughter, Juanita Fowler Miller, took over, diversifying into peanuts, wheat, and soybeans alongside cotton.
In recognition of its historical significance and continuous family stewardship, the Rev. James Fowler Farm received the Centennial Family Farm Award at the Georgia National Fair in Perry on October 6, 2000. This honor marked it as the third African American-owned farm to receive this distinction, highlighting the family's dedication to preserving their agricultural heritage.

Georgia African American Historic Preservation Network. “2000 Georgia Centennial Farm Awards Honor Reverend James Fowler Farm.” Reflections, Dec. 2000. 
https://gadnr.org/sites/default/files/hpd/pdf/AfricanAmericanHistoricPlaces/December%202000.pdf

Yumpu.com. “May/June 2001 - the Georgia Trust for Historic Preservation.” yumpu.com, www.yumpu.com/en/document/read/37119213/may-june-2001-the-georgia-trust-for-historic-preservation.","Award: Rev. James Fowler is the third African American recipient of the Centennial Family Farm Award on October 6th, 2000. (1, 2, 4)

Legacy: Reverend James Fowler received 202 acres of land from N.F. Mercer in 1888 (1, 2, 4). He became “one of the leading local cotton producers in the area” (4). His descendants inherited and expanded the land over the next years. Juanita Fowler Miller (Rev. Fowler’s granddaughter) added peanuts, wheat, and soybeans to the existing cotton farm. (1, 2)

Note: Juanita is listed as the owner of the farm at the time of the award. (3)

160 acres are currently in use. (2, 3)","31.5282489, -83.8897057",
Hubert,Hancock,"Source: The Zach Hubert Farm, a Centennial Family Farm was established by a former slave, Zach Hubert. The land has stayed in his family for over a century and used for many different crops. It was listed in the National Register of Historic Places, and honors the legacy of Black farmers who fought to keep their land. It is known as a historical landmark and a working farm which shows the heritage of African American farmers in Georgia. 


Georgia Department of Community Affairs. “Reflections.” Georgia Department of Community Affairs, GovHub, Mar. 2011, dca.georgia.gov/document/newsletters/2011-03reflectionspdf. Accessed 18 Feb. 2025.
https://georgiawildlife.com/sites/default/files/hpd/pdf/AfricanAmericanHistoricPlaces/March%202011.pdf","Award: State grands: The Centennial Heritage Farm Award, The Centennial Farm Award, The Centennial Family Farm Award

Funding: Came from Julius Rosenwald Fund, $1.2 million from the Quality of Life Bond fund for streetscape design

Crops, Organic vegetables, fruits, herbs, cotton, corn

Legacy: aims to educate the public on agriculture, supports Black Farmers

Acquisition: family owned for 3 generations, expanded through state land programs","33.2882621, -83.03613759999999",
Kindler,Miller,"The Kinder family farm was established by former slave Littleton Kinder after he bought approximately 240 acres from A. L. Brown. The farm has earned the Centennial Family Farm Award, and it is located near Colquitt in Miller County. The total farm size consists of pine and hardwood for reforestation efforts and crops such as corn, cotton, sugar cane, and peanuts. Kinder’s legacy stems from helping African Americans protect their farms during the Jim Crow era, since he was literate.

Georgia African American Historic Preservation Network. “The L and M Kinder Farm: An African American Centennial Family Farm.” Reflections, vol. 5, no. 4, pp. 6–6.
https://dca.georgia.gov/document/newsletters/2006-02reflectionspdf/download","Award: Centennial Family Farm Award

Crops: cotton, corn, sugar cane and peanuts

Acquisition: Littleton Kinder bought 240 acres from A. L. Bowen

Legacy: Kinder was literate and aided in helping African Americans protect their farms during Jim Crow era

Location: near Colquitt in Miller County

Size: 120-140 acres in pine and hardwood for reforestation efforts, 120 acres for livestock and vegetables

Owner: Kinder Family (currently Martha Kinder)

Source: Reflections L and M Kinder farm","31.2008218, -84.7315563",
Charleston-Allen,Morgon,"The Charleston-Allen Farm in Morgan County traces its origins to 1890 when Anna Charleston, born into slavery just 30 years earlier, secured nearly 300 acres of land for her daughter, Alameda. Her landownership was safeguarded by a copy of the land deed, kept in her home to prevent disputes during the Reconstruction era. Though some acreage was lost over time, Anna retained 172 acres, which she passed down to her children. Despite having no formal education, she prioritized schooling for her family, sending one child to a private school in Social Circle while others worked alongside her on the farm. She also contributed lumber to the construction of Plainview Baptist Church, one of the oldest African American churches in the county.
The family farm historically produced cotton, corn, cattle, and pigs. Today, 100 acres are dedicated to tree production, growing pine and hardwood. In October 2010, the Charleston-Allen Farm was recognized with a Georgia Centennial Family Farm Award at the Georgia National Fair. The land remains in the family, with Odessa Allen Hall, Wanda Huff, and other descendants continuing its legacy.

Georgia Department of Community Affairs. “Reflections.” Georgia Department of Community Affairs, GovHub, Mar. 2011, dca.georgia.gov/document/newsletters/2011-03reflectionspdf. Accessed 18 Feb. 2025.
https://georgiawildlife.com/sites/default/files/hpd/pdf/AfricanAmericanHistoricPlaces/March%202011.pdf","Award: Georgia Centennial Family Farm Award (2010)

Crops: Cotton, Corn, Cattle (Pigs)

Owner: Charleston-Allen Family
Location: Morgan County

Legacy: The Charleston-Allen Farm has remained in the family for over a century, evolving from cotton fields to a 100-acre tree farm in Morgan County","33.5794186, -83.46435509999999",
Garfield Hall,Bulloch,"The Garfield Hall Farm in Bulloch County traces its roots to 1904, when R.D. Saturday first acquired 150 acres of land near U.S. Highway 80 in Portal. In 1928, his grand-nephew, Garfield Hall, purchased the farm for $3,980, securing land that had once been worked by his enslaved ancestors. Over the years, the farm produced cotton, corn, tobacco, and peanuts, while also raising livestock such as chickens, turkeys, hogs, and rabbits.
The Hall family has remained connected to their land for generations, with members dedicating their lives to both agriculture and education. Garfield Hall served as a trustee of Willow Hill School, a historically significant institution for African American students. His descendants, Sandra Hall Cummings and Gwendolyn Jones West, continue to maintain the farm, which now spans 155 acres. While 40 acres are dedicated to tree farming, the remaining land is carefully preserved. In 2010, the Garfield Hall Farm was honored with a Georgia Centennial Family Farm Award, recognizing over a century of family ownership and agricultural contributions.
Georgia Department of Community Affairs. “Reflections.” Georgia Department of Community Affairs, GovHub, Mar. 2011, dca.georgia.gov/document/newsletters/2011-03reflectionspdf. Accessed 18 Feb. 2025.
https://georgiawildlife.com/sites/default/files/hpd/pdf/AfricanAmericanHistoricPlaces/March%202011.pdf","Location: Bulloch County, GA

Crops: Cotton, Peanuts, Corn, Tobacco

Owner: The Hall Family

Awards: Georgia Centennial Family Farm Award (2010)

Size: 155 Acres, 40 Acres are being used for tree production and the remaining 115 acres are owned and maintained by the owners","32.3595678, -81.77870209999999",
Gilliard,Glynn,"The Gilliard Farm was founded in 1874 by Jupiter Gilliard, a formerly enslaved man. The farm has since remained in the same family for over 100 years, recently receiving the Centennial Family Farm Award in 2012. Now owned by Althea and Matthew Raiford, who has transformed it into an organic farm, producing fruits, vegetables, and livestock while also operating a Community Supported Agriculture program (CSA).

Georgia Department of Community Affairs. “Reflections.” Georgia Department of Community Affairs, GovHub, Dec. 2012, dca.georgia.gov/document/newsletters/2012-12reflectionspdf. Accessed 18 Feb. 2025.
https://georgiawildlife.com/sites/default/files/hpd/pdf/AfricanAmericanHistoricPlaces/December%202012.pdf","Location: Glynn County, GA

Crops: Fruits, Vegetables, and Livestock (specific not mentioned)

Owner: Gilliard Family

Awards: Georgia Centennial Family Farm Award (2012), Southeastern African American Farmers Organic Network (SAAFON)

Size: Originally was 457 acres, with the owners now retaining 50 acres, 15 of which are used for agriculture","31.2624169, -81.6035062",
Williams,Thomas,"The Williams Farm is an African American Centennial Farm near Thomasville, Georgia, and has remained in the same family since 1883 when Charles Cockrell originally purchased over 200 acres of land. Throughout the years, the farm maintained diverse crop production, which includes peanuts, soybean, and livestock. Today, the farm is operated by Bryan Williams with a focus on cotton, peanuts, pecans, and cattle. The farm received a Centennial Farm Award in 2013 to recognize its continuous operation throughout the century. Overall, the farm’s history represents resilience throughout the generations, especially in terms of hardships. 

Georgia Department of Community Affairs. “Reflections.” Georgia Department of Community Affairs, GovHub, Dec. 2013, dca.georgia.gov/document/newsletters/2013-12reflectionspdf. Accessed 18 Feb. 2025.
https://gadnr.org/sites/default/files/hpd/pdf/AfricanAmericanHistoricPlaces/December%202013.pdf","Award: Centennial Family Farm Award (2013 – 20th year anniversary)

Crops: cotton, peanuts, corn, and soybeans, as well as pecan trees 

Acquisition: Original owners were Kenneth and Octavia Williams, memorialized with the name “Kentavia Williams Farm”

Location: Near Thomasville, GA

Size: 245 acres, half of the land still being used for farmland

Notable Facts: The original farm house in 1916 has been renovated, preserving the architectural style

Owner: Belle Williams and her brothers.","30.8365815, -83.9787808",
